,Adjective,Adj_Type,Count,PP,NMod,Bare_in_PP_Sing,Bare_in_PP_Pl,Bare_in_NP_Sing,Bare_in_NP_Pl,PP_in_NP,PP_in_VP,PP_in_AP,PP_Percent,Prep_Entropies,HW_Entropies,PP_HW_Entropies
82,high,Qualitative,40721,12345,0.1708700670415756,0.3542324827865533,0.23758606723369785,0.3458657695046782,0.15564450774784508,0.4050222762251924,0.4844066423653301,0.03718104495747266,0.3031605314211341,1.949806597133285,5.83253210836947,7.2110324677761195
83,long,Qualitative,40877,12399,0.14416419991682364,0.2221953383337366,0.1813049439470925,0.26151625608532914,0.1184529197348142,0.24219695136704572,0.6539237035244778,0.04153560771029922,0.30332460797025224,1.955532983358213,5.982273027910012,6.804728987078613
84,large,Qualitative,35572,12222,0.044220173169908915,0.13066601210931109,0.366143020782196,0.16035083773754638,0.29242100528505566,0.37473408607429226,0.5184094256259205,0.0390279823269514,0.3435848420105701,1.753455675727439,6.303849972139203,7.1145162745910255
85,general,Qualitative,34033,13635,0.047453941762407074,0.3317931793179318,0.17323065639897323,0.3206005935415626,0.1350747803602386,0.4203887055372204,0.46541987532086543,0.03901723505683902,0.40064055475567834,1.954001589870724,5.914280041338941,6.947330092906412
86,young,Qualitative,30927,9838,0.020920231512917515,0.12278918479365725,0.4917666192315511,0.17279399877130017,0.3363080803181686,0.5121976011384428,0.3688757877617402,0.051941451514535476,0.3181039221392311,1.6565121919887016,4.914657751505628,6.864913448265165
87,full,Qualitative,32285,7945,0.10921480563729286,0.518942731277533,0.10711139081183134,0.40489391358215887,0.08592225491714418,0.3022026431718062,0.5918187539332914,0.04153555695405916,0.24608951525476228,2.1407497669154547,6.159920149746352,6.8613722110078275
88,available,Qualitative,27029,3462,0.0017388730622664545,0.2772963604852686,0.40121317157712305,0.11206481926819342,0.11224980576417921,0.5476603119584056,0.30271519352975157,0.05285961871750433,0.1280846498205631,1.330644532962587,5.984350284351709,5.60855425208643
89,early,Qualitative,26802,14425,0.05902544586224909,0.2392374350086655,0.1697053726169844,0.2682262517722558,0.17692709499291098,0.27348353552859617,0.607209705372617,0.034246100519930676,0.5382061040220879,1.5907809404376536,5.906587974376796,7.18580924863594
90,big,Qualitative,25170,6589,0.031029002781088597,0.20807406283199273,0.19122780391561695,0.23531982518871672,0.14644417957886371,0.3080892396418273,0.535134314767036,0.040370314159963575,0.2617798967024235,2.027686874480247,6.24680630814689,6.823778050006954
91,clear,Qualitative,23090,2155,0.003637938501515808,0.28909512761020884,0.19907192575406032,0.09363360762234733,0.06548289302728454,0.32018561484918795,0.57169373549884,0.02923433874709977,0.09333044608055435,1.6334459801699606,5.6842992666590995,5.6721812086621854
92,real,Qualitative,22330,6573,0.05450067174205105,0.35204624980982807,0.23946447588620112,0.3096730855351545,0.1439767129422302,0.41122774988589683,0.4690400121710026,0.053856686444545866,0.29435736677115987,1.82417509230599,5.726125764286341,6.569777030843454
93,certain,Qualitative,21794,8355,0.005643755161971185,0.06068222621184919,0.6599640933572711,0.061943654216756905,0.5098651004863723,0.35990424895272294,0.5207660083782166,0.05206463195691203,0.3833623933192622,1.918305928879045,6.203948722153273,6.984006870918638
94,special,Qualitative,21633,7544,0.05445384366477141,0.2697507953340403,0.33390774125132555,0.28040493690195534,0.277723847825082,0.42629904559915166,0.4688494167550371,0.029294803817603392,0.34872648268848516,1.7341720633243216,5.615070478012294,6.465252967860771
95,black,Qualitative,23345,8099,0.07783251231527094,0.31016174836399557,0.29929620940856894,0.2889698008138788,0.22214606982223173,0.49376466230398813,0.40671687862699096,0.03765897024323991,0.3469265367316342,1.8271105701546704,6.327812790144465,7.260724328219286
96,difficult,Qualitative,21620,1637,0.0013876040703052729,0.14599877825290164,0.31459987782529014,0.04384828862164662,0.05055504162812211,0.24129505192425169,0.5974343310934637,0.028100183262064753,0.07571692876965773,2.003978308511377,5.146162581453779,5.6883254531489
97,open,Qualitative,23529,5604,0.08130392281864933,0.3269093504639543,0.1763026409707352,0.2107186875770326,0.10034425602448042,0.33886509635974305,0.5622769450392576,0.029621698786581014,0.23817416804794084,2.0404883215371163,5.769590060120418,6.694484678446054
98,white,Qualitative,21285,6374,0.07098895936105239,0.36272356448070286,0.2754941951678695,0.27028423772609816,0.16889828517735495,0.4836837150925635,0.41496705365547537,0.042516473172262315,0.29945971341320177,1.784770101271547,6.241495659439616,7.062970215211617
99,free,Qualitative,22767,4864,0.08749505863750165,0.4488075657894737,0.19058388157894737,0.29248473668028285,0.10339526507664602,0.5164473684210527,0.3879523026315789,0.03803453947368421,0.2136425528176747,1.653036739922325,5.757859951710321,6.665759595272854
100,common,Qualitative,20048,5693,0.04055267358339984,0.3746706481644124,0.1477252766555419,0.2652633679169992,0.10340183559457303,0.49868259265764975,0.3774811171614263,0.0456701212014755,0.2839684756584198,1.6776656357405568,5.490013202742972,6.648097323615098
101,short,Qualitative,21451,6454,0.13001724861311828,0.2857142857142857,0.19987604586303068,0.2697776327443942,0.11948160924898606,0.2703749612643322,0.6354198946389836,0.03393244499535172,0.300871754230572,1.9453963306957958,5.507693036882134,6.269948057338126
102,similar,Qualitative,18308,5377,0.0037688442211055275,0.20401710991259067,0.40357076436674727,0.1919379506226786,0.3156543587502731,0.36544541565928956,0.5506788171843036,0.028826483169053375,0.29369674459252787,1.6880769032305747,6.43404647879602,6.6926456137231565
103,necessary,Qualitative,17842,1326,0.0018495684340320592,0.23378582202111614,0.17345399698340874,0.0659679408138101,0.04668759107723349,0.3838612368024133,0.45852187028657615,0.05279034690799397,0.07431902253110638,1.6318305908655,5.686626277194055,5.691208559716545
104,single,Qualitative,19653,7883,0.08527960107871571,0.1874920715463656,0.1348471394139287,0.2435760443698163,0.10894011092454078,0.38399086642141317,0.5353291893949004,0.03374349866801979,0.4011092454078258,1.9385571428664234,6.110300747235488,6.740147770399169
105,private,Qualitative,17857,8350,0.06440051520412163,0.3474251497005988,0.297125748502994,0.3373466987735902,0.25749005992047935,0.46778443113772455,0.43197604790419164,0.035329341317365266,0.4676037408299266,2.016319866190766,5.550313747906658,6.947047894086661
106,foreign,Qualitative,14526,6072,0.1624673000137684,0.31389986824769434,0.41106719367588934,0.3555004818945339,0.3214924962136858,0.5973320158102767,0.32328722002635046,0.03293807641633729,0.4180090871540686,1.8499212226083426,4.847124915384912,6.733551181969203
107,recent,Qualitative,15697,9556,0.008090717971586928,0.1764336542486396,0.5306613645876936,0.24456902592852137,0.44256864368987703,0.2621389702804521,0.6353076601088321,0.026580159062369192,0.6087787475313754,1.599591459212589,5.430135294198472,6.524262530285135
108,strong,Qualitative,16528,3768,0.008470474346563407,0.333864118895966,0.23885350318471338,0.22797676669893513,0.15857938044530492,0.3744692144373673,0.5031847133757962,0.03795116772823779,0.22797676669893513,1.6208544144350783,6.1429545646735475,6.437405525595053
109,concerned,Qualitative,6335,267,0.00031570639305445933,0.27340823970037453,0.41947565543071164,0.05730071033938437,0.042620363062352014,0.45692883895131087,0.43820224719101125,0.04119850187265917,0.042146803472770326,1.9731501748310014,4.196695726706136,4.927367385809217
